*HASH_VALUE	faction	name	member	membergen	memberdat
_A0EC3CB6728A80B6	fyros	файросы	файрос	файросов	файросам
_E10CC4B36E98C09E	matis	матисы	матис	матисов	матисам
_2DCA2CC01F48D0B6	tryker	трайкеры	трайкер	трайкеров	трайкерам
_224BC0AE0EA920A2	zorai	Зораи	Зораи	Зораи	Зораи
_A7882077E757D4B4	bandit	бандиты	бандит	бандитов	бандитам
_AC0AD4AB2947CC7C	civil	мирные жители	Мирные жители	Мирных жителей	Мирным жителям
_6388290BE32850A7	black_kami	Marauder	Marauder		
_2BF98095A426C07F	degen	вырожденцы	вырожденец	вырожденцев	вырожденцам
_2A9A98AAE9E7B874	fauna	фауна	животное	животных	животным
_A8F93F8ED3E7C6CD	fauna_carnivore	хищники	хищник	хищников	хищникам
_A9890F92163796CD	fauna_herbivore	травоядные	травоядное	травоядных	травоядным
_2B7ABCB32B36E474	flora	флора	растение	растений	растениям
_58767495AA0A0894	goo	Гуу	зараженный Гуу	зараженных Гуу	зараженным Гуу
_64584C9E66D83075	kami	Ками	Ками	Ками	Ками
_2059C0A2A31898AB	karavan	Караван	Караван	Каравана	Каравану
_2C0AD4B1ABA7EC86	kitin	китины	китин	китинов	хитинам
_A85CA3F578D722AB	tribe_ancient_dryads	Древние Дриады	Древняя Дриада	Древних Дриад	Древним Дриадам
_7C0E65967AB061E7	tribe_antikamis	Антиками	Антиками	Антиками	Антиками
_EA5025FB69C9F0B1	tribe_barkers	Короеды	Короеды	Короедов	Короедам
_D4B097EF96E6E67A	tribe_beachcombers	Прочесывающие Берег	Прочесывающий Берег	Прочесывающих Берег	Прочесывающим Берег
_55E23F9137476662	tribe_black_circle	Черный Круг	Адепт Черного круга	Адептов Черного круга	Адептам Черного круга
_2335A26F01B5D68B	tribe_cholorogoos	Хлорогуу	Хлорогуу	Хлорогуу	Хлорогуу
_1E767658BC34C67F	tribe_cockroaches	Тараканы	Таракан	Тараканов	Тараканам
_E8A578485AA340D4	tribe_company_of_the_eternal_tree	Гвардия Вечного Древа	Гвардеец Вечного Древа	Гвардейцев Вечного Древа	Гвардейцам Вечного Древа
_83BEF92D6C48E01E	tribe_corsair	Корсары	Корсар	Корсаров	Корсарам
_6769CCCA2D0A5CA7	tribe_cute	Кьюзан	Кьюзан	Кьюзанов	Кьюзанам
_694BCB10D6E4515B	tribe_darkening_sap	Затмение Сэпа	Затмение Сэпа	Затмения Сэпа	Затмению Сэпа
_2126A262C4C30D2F	tribe_dune_riders	Наездники Дюн	Наездник Дюн	Наездников Дюн	Наездникам Дюн
_E536CE73C206A68B	tribe_ecowarriors	Эковоины	Эковоин	Эковоинов	Эковоинам
_9BA60676076C3DEE	tribe_firebrands	Заклейменные Пламенем	Заклейменный Пламенем	Заклейменных Пламенем	Заклейменным Пламенем
_225B4E15B7DC079F	tribe_first_deserter	Первые Дезертиры	Первый Дезертир	Первых Дезертиров	Первым Дезертирам
_C23F69132AF97CA3	tribe_frahar	Фрэйдеры	Фрэйдер	Фрэйдеров	Фрэйдерам
_B459CBF1392BE778	tribe_frahar_hunters	Охотники на Фрахаров	Охотник на Фрахаров	Охотников на Фрахаров	Охотникам на Фрахаров
_EC39A49C646848A5	tribe_gibbay	Гиббаи	Гиббай	Гиббаев	Гиббаям
_748A396FE96F21E5	tribe_goo_heads	Безумцы Гуу	Безумец Гуу	Безумцев Гуу	Безумцам Гуу
_4255EE5EC3CBACFE	tribe_green_seed	Зеленое Семя	Зеленое Семя	Зеленого Семени	Зеленому Семени
_36BF4380A26E67C9	tribe_hamazans_of_the_dead_seed	Амазонки Мертвого Семени 	Амазонка Мертвого Семени 	Амазонок Мертвого Семени 	Амазонкам Мертвого Семени 
_08ADBC69EE67A864	tribe_icon_workshipers	Почитатели Образа	Почитатель Образа	Почитателей Образа	Почитателям Образа
_2C7F49FC279914B1	tribe_keepers	Хранители	Хранитель	Хранителей	Хранителям
