*HASH_VALUE	title_id	name	women_name
-	gn_apprentice_tracer	Apprentice Tracer	
-	gn_bandit_bountybeaches_1	Кровавые Корчевщики	
-	gn_bandit_bountybeaches_2	Охотники за головами	
-	gn_bandit_bountybeaches_3	Отъявленная пятерка	
-	gn_bandit_citiesofintuition_1	Птицы Предзнаменования	
-	gn_bandit_citiesofintuition_2	Клинки Зоры	
-	gn_bandit_citiesofintuition_3	Очи Озарений	
-	gn_bandit_dunesofexil_1	Опустошители предгорий	
-	gn_bandit_dunesofexil_2	Подстерегающие	
-	gn_bandit_dunesofexil_3	Драконы Дайрона	
-	gn_bandit_dunesofexil_4	Истребители Пламени	
-	gn_bandit_enchantedisle_1	Потрошители Тайлера	
-	gn_bandit_enchantedisle_2	Аколиты Зла	
-	gn_bandit_enchantedisle_3	Своенравные Мектубы	
-	gn_bandit_fleetinggarden_1	Осквернители Зелени	
-	gn_bandit_fleetinggarden_2	Мутноглазые	
-	gn_bandit_fleetinggarden_3	Смотрящие с Вершин	
-	gn_bandit_fleetinggarden_4	Владыки Призрачного сада	
-	gn_bandit_fleetinggarden_5	Подсевшие на Семена	
-	gn_bandit_forbidden_depths_1	Пики Евы	
-	gn_bandit_forbidden_depths_2	Резчики плоти	
-	gn_bandit_forbidden_depths_3	Банда Зверообразных 	
-	gn_bandit_forbidden_depths_4	Танцующие с Драконами	
-	gn_bandit_frahartowers_1	Змеи Каньонов	
-	gn_bandit_frahartowers_2	Великолепные Стэйвоны	
-	gn_bandit_frahartowers_3	Клинки Ярости	
-	gn_bandit_frahartowers_4	Поджигатели фрахаров	
-	gn_bandit_gate_of_obscurity_1	Разбивающие Сердца	
-	gn_bandit_gate_of_obscurity_2	Продавцы Ужаса	
-	gn_bandit_gate_of_obscurity_3	Разорители Долин	
-	gn_bandit_gate_of_obscurity_4	Алые Бездельники	
-	gn_bandit_groveofconfusion_1	Безбашенные Девки	
-	gn_bandit_groveofconfusion_2	Тираны Рощи	
-	gn_bandit_groveofconfusion_3	Длинные Ножи	
-	gn_bandit_groveofumbra_1	Королевы Убийц	
-	gn_bandit_groveofumbra_2	Гуляки	
-	gn_bandit_groveofumbra_3	Черные Овцы	
-	gn_bandit_groveofumbra_4	Смельчаки	
